# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
 7837.515132 |   0)  compact-3316  | + 16.776 us   |  } /* __alloc_pages_nodemask */
 7837.519156 |   0)  compact-3316  | + 12.736 us   |  } /* __alloc_pages_nodemask */
 7837.522757 |   0)  compact-3316  | + 12.329 us   |  } /* __alloc_pages_nodemask */
 7837.523708 |   0)  compact-3316  | + 11.995 us   |  } /* __alloc_pages_nodemask */
 7837.523814 |   0)  compact-3316  | + 11.726 us   |  } /* __alloc_pages_nodemask */
 7837.523932 |   0)  compact-3316  | + 14.882 us   |  } /* __alloc_pages_nodemask */
 7837.524285 |   0)  compact-3316  | + 11.815 us   |  } /* __alloc_pages_nodemask */
 7837.525035 |   0)  compact-3316  | + 15.486 us   |  } /* __alloc_pages_nodemask */
 7837.525078 |   0)  compact-3316  | + 17.789 us   |  } /* __alloc_pages_nodemask */
 7837.525468 |   0)  compact-3316  | + 15.507 us   |  } /* __alloc_pages_nodemask */
 7837.525564 |   0)  compact-3316  | + 15.503 us   |  } /* __alloc_pages_nodemask */
 7837.527130 |   0)  compact-3316  | + 18.678 us   |  } /* __alloc_pages_nodemask */
 7837.527788 |   0)  compact-3316  | + 17.949 us   |  } /* __alloc_pages_nodemask */
 7837.527875 |   0)  compact-3316  | + 18.611 us   |  } /* __alloc_pages_nodemask */
 7837.528653 |   0)  compact-3316  | + 15.420 us   |  } /* __alloc_pages_nodemask */
 7837.529423 |   0)  compact-3316  | + 15.715 us   |  } /* __alloc_pages_nodemask */
 7837.530931 |   0)  compact-3316  | + 15.548 us   |  } /* __alloc_pages_nodemask */
 7837.531626 |   0)  compact-3316  | + 15.279 us   |  } /* __alloc_pages_nodemask */
 7837.531711 |   0)  compact-3316  | + 15.002 us   |  } /* __alloc_pages_nodemask */
 7837.532933 |   0)  compact-3316  | + 18.058 us   |  } /* __alloc_pages_nodemask */
 7837.532968 |   0)  compact-3316  | + 14.160 us   |  } /* __alloc_pages_nodemask */
 7837.533038 |   0)  compact-3316  | + 13.644 us   |  } /* __alloc_pages_nodemask */
 7837.533583 |   0)  compact-3316  | + 14.695 us   |  } /* __alloc_pages_nodemask */
 7837.535827 |   0)  compact-3316  | + 11.673 us   |  } /* __alloc_pages_nodemask */
 7837.536222 |   0)  compact-3316  | + 16.829 us   |  } /* __alloc_pages_nodemask */
 7837.536920 |   0)  compact-3316  | + 20.350 us   |  } /* __alloc_pages_nodemask */
 7837.537641 |   0)  compact-3316  | + 15.102 us   |  } /* __alloc_pages_nodemask */
 7837.537676 |   0)  compact-3316  | + 14.307 us   |  } /* __alloc_pages_nodemask */
 7837.538939 |   0)  compact-3316  | + 14.880 us   |  } /* __alloc_pages_nodemask */
 7837.539452 |   0)  compact-3316  | + 16.460 us   |  } /* __alloc_pages_nodemask */
 7837.540221 |   0)  compact-3316  | + 21.596 us   |  } /* __alloc_pages_nodemask */
 7837.540299 |   0)  compact-3316  | + 12.425 us   |  } /* __alloc_pages_nodemask */
 7837.540485 |   0)  compact-3316  | + 12.024 us   |  } /* __alloc_pages_nodemask */
 7837.540517 |   0)  compact-3316  | + 20.454 us   |  } /* __alloc_pages_nodemask */
 7837.541188 |   0)  compact-3316  | + 11.671 us   |  } /* __alloc_pages_nodemask */
 7837.541278 |   0)  compact-3316  | + 24.273 us   |  } /* __alloc_pages_nodemask */
 7837.541376 |   0)  compact-3316  | + 11.700 us   |  } /* __alloc_pages_nodemask */
 7837.542170 |   0)  compact-3316  | + 17.925 us   |  } /* __alloc_pages_nodemask */
 7837.543012 |   0)  compact-3316  | + 15.336 us   |  } /* __alloc_pages_nodemask */
 7837.543143 |   0)  compact-3316  | + 29.380 us   |  } /* __alloc_pages_nodemask */
 7837.543535 |   0)  compact-3316  | + 14.016 us   |  } /* __alloc_pages_nodemask */
 7837.543577 |   0)  compact-3316  | + 13.668 us   |  } /* __alloc_pages_nodemask */
